"wdpa_id","screenname","status","stage","name_en","threat_category","threat_sub_category","potential_threat","rating","inside_site","outside_site","assessment_cycle"
"12206","elena","Completed","Published","Garajonay National Park","Climate Change and Severe Weather","Temperature extremes","Increased vulnerability to anticipated climate change","Very High Threat","1","1","2014"
"10745","elena","Completed","Published","Manas Wildlife Sanctuary","Natural System Modifications","Dams/ Water Management or Use","Hydro-electric projects","High Threat","1","1","2014"
"10745","elena","Completed","Published","Manas Wildlife Sanctuary","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Tourism development","Low Threat","1","1","2014"
"2004","elena","Completed","Published","Dinosaur Provincial Park","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Tourism infrastructure development","Low Threat","1","0","2014"
"902899","elena","Completed","Published","Malpelo Fauna and Flora Sanctuary","Biological Resource Use","Fishing / Harvesting Aquatic Resources","Inadequate fisheries management in the wider region","Low Threat","1","1","2014"
"220292","elena","Completed","Published","Kinabalu Park","Climate Change and Severe Weather","Droughts","Droughts creating risk of fire","Low Threat","1","1","2014"
"220292","elena","Completed","Published","Kinabalu Park","Social/ Cultural Changes","Changes in traditional ways of life and knowledge systems","Stakeholder antagonism towards park over fees/access","High Threat","1","1","2014"
"903130","elena","Completed","Published","Jeju Volcanic Island and Lava Tubes","Geological Events","Volcanoes","Dormant volcano exists","Very Low Threat","0","0","2014"
"198298","elena","Completed","Published","Lorentz National Park","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Climate change is causing rapid melting of glaciers","High Threat","1","0","2014"
"198298","elena","Completed","Published","Lorentz National Park","Energy Production and Mining","Oil/ Gas exploration/development","Risk of mining tailings polluting marine environment","High Threat","0","1","2014"
"198298","elena","Completed","Published","Lorentz National Park","Energy Production and Mining","Mining/ Quarrying","Risk of mining tailings polluting marine environment","High Threat","0","1","2014"
"198298","elena","Completed","Published","Lorentz National Park","Biological Resource Use","Logging/ Wood Harvesting","Logging and agricultural development in the lowlands","High Threat","1","0","2014"
"198298","elena","Completed","Published","Lorentz National Park","Transportation and Service Corridors","Roads/ Railroads","Road construction in the lowlands","Very High Threat","1","0","2014"
"903138","elena","Completed","Published","Socotra Archipelago","Pollution","Solid Waste","Pollution/waste","Low Threat","0","0","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Other","Other","Several invasive marine species","Very High Threat","0","0","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Climate Change and Severe Weather","Ocean acidification","Ocean acidification","High Threat","1","1","2014"
"903133","elena","Completed","Published","Joggins Fossil Cliffs","Climate Change and Severe Weather","Storms/Flooding","Climate change","Low Threat","1","0","2014"
"903133","elena","Completed","Published","Joggins Fossil Cliffs","Climate Change and Severe Weather","Temperature extremes","Climate change","Low Threat","1","0","2014"
"903133","elena","Completed","Published","Joggins Fossil Cliffs","Social/ Cultural Changes","Identity/ Social Cohesion/ Changes in local population and community","Societal change","Low Threat","1","0","2014"
"903133","elena","Completed","Published","Joggins Fossil Cliffs","Geological Events","Erosion and Siltation/ Deposition","Coastal erosion","Very Low Threat","1","0","2014"
"18862","elena","Completed","Published","Meteora","Natural System Modifications","Fire/ Fire Suppression","Moderate risk of fires","Low Threat","1","0","2014"
"18862","elena","Completed","Published","Meteora","Geological Events","Earthquakes/ Tsunamis","Moderate seismic risk","Data Deficient","1","0","2014"
"18862","elena","Completed","Published","Meteora","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Possible habitat alteration due to climate change","Data Deficient","1","0","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Alien invasive species (AIS)","High Threat","1","1","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Climate Change and Severe Weather","Desertification","Climate Change","High Threat","1","1","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Natural System Modifications","Fire/ Fire Suppression","Wildfire","High Threat","1","1","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Geological Events","Volcanoes","Renewed volcanic activity","Very Low Threat","1","1","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Modification du régime pluviométrique","Low Threat","1","1","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Une espèce animale envahissante","High Threat","1","0","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Transportation and Service Corridors","Roads/ Railroads","Construction d'une nouvelle ligne de chemin de fer","High Threat","1","1","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Transportation and Service Corridors","Roads/ Railroads","Amélioration de la route qui traverse le site","Low Threat","1","1","2014"
"903130","elena","Completed","Published","Jeju Volcanic Island and Lava Tubes","Human Intrusions and Disturbance","War, Civil Unrest/ Military Exercises","Naval base construction","Very Low Threat","0","1","2014"
"900630","elena","Completed","Published","Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks","Other","Other","Biological isolation","High Threat","1","1","2014"
"900630","elena","Completed","Published","Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks","Climate Change and Severe Weather","Storms/Flooding","Climate Change","High Threat","1","1","2014"
"900630","elena","Completed","Published","Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks","Climate Change and Severe Weather","Droughts","Climate Change","High Threat","1","1","2014"
"4326","elena","Completed","Published","Durmitor National Park","Natural System Modifications","Dams/ Water Management or Use","Hydroelectricity projects","Very High Threat","1","1","2014"
"903136","elena","Completed","Published","Mount Sanqingshan National Park","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Impact of tourism","Low Threat","1","1","2014"
"903136","elena","Completed","Published","Mount Sanqingshan National Park","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Climate Change","Data Deficient","1","0","2014"
"903136","elena","Completed","Published","Mount Sanqingshan National Park","Transportation and Service Corridors","Roads/ Railroads","Potential for road construction and upgrades","Data Deficient","1","1","2014"
"4326","elena","Completed","Published","Durmitor National Park","Other","Other","Boundary modifications","High Threat","1","1","2014"
"4326","elena","Completed","Published","Durmitor National Park","Climate Change and Severe Weather","Temperature extremes","Climate changes","Low Threat","1","1","2014"
"478637","elena","Completed","Published","Göreme National Park and the Rock Sites of Cappadocia","Geological Events","Earthquakes/ Tsunamis","Earthquake damage","Low Threat","1","1","2014"
"478637","elena","Completed","Published","Göreme National Park and the Rock Sites of Cappadocia","Other","Other","Other environmental influences","Low Threat","0","0","2014"
"902481","elena","Completed","Approved","Islands and Protected Areas of the Gulf of California","Climate Change and Severe Weather","Temperature extremes","Climate change","High Threat","1","1","2014"
"902481","elena","Completed","Approved","Islands and Protected Areas of the Gulf of California","Climate Change and Severe Weather","Ocean acidification","Climate change","High Threat","1","1","2014"
"2570","elena","Completed","Published","Los Glaciares National Park","Natural System Modifications","Dams/ Water Management or Use","Dam construction","Low Threat","0","0","2014"
"2570","elena","Completed","Published","Los Glaciares National Park","Residential and Commercial Development","Housing/ Urban Areas","Housing development around El Chalten and in the buffer zone","Very Low Threat","1","1","2014"
"902899","elena","Completed","Published","Malpelo Fauna and Flora Sanctuary","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Accidental introduction of alien invasive species","High Threat","1","0","2014"
"145586","elena","Completed","Published","Lake Turkana National Parks","Energy Production and Mining","Oil/ Gas exploration/development","Oil exploration and development","High Threat","0","1","2014"
"145586","elena","Completed","Published","Lake Turkana National Parks","Residential and Commercial Development","Commercial/ Industrial Areas","Regional infrastructure corridor","Data Deficient","0","1","2014"
"145586","elena","Completed","Published","Lake Turkana National Parks","Social/ Cultural Changes","Identity/ Social Cohesion/ Changes in local population and community","Social unrest arising from tribal conflicts over diminishing resources","Data Deficient","0","1","2014"
"145586","elena","Completed","Published","Lake Turkana National Parks","Other","Other","Wind turbines and transmission lines","Data Deficient","0","0","2014"
"4327","elena","Completed","Published","Garamba National Park","Energy Production and Mining","Mining/ Quarrying","Gold panning spreading into the park","Low Threat","0","1","2014"
"902899","elena","Completed","Published","Malpelo Fauna and Flora Sanctuary","Pollution","Solid Waste","Plastic marine pollution.","Low Threat","0","0","2014"
"902899","elena","Completed","Published","Malpelo Fauna and Flora Sanctuary","Residential and Commercial Development","Tourism/ Recreation Areas","Increasing specialised diving tourism and scientific visits","Low Threat","1","1","2014"
"9617","elena","Completed","Published","Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve","Natural System Modifications","Fire/ Fire Suppression","Incendies","Data Deficient","1","1","2014"
"145583","elena","Completed","Published","Morne Trois Pitons National Park","Climate Change and Severe Weather","Temperature extremes","Climate change","Very High Threat","1","1","2014"
"145583","elena","Completed","Published","Morne Trois Pitons National Park","Other","Other","Geothermal exploration and development","High Threat","1","1","2014"
"145583","elena","Completed","Published","Morne Trois Pitons National Park","Geological Events","Volcanoes","Volcanic eruption","Very Low Threat","1","1","2014"
"67731","elena","Completed","Published","Wulingyuan Scenic and Historic Interest Area","Other","Other",".","Data Deficient","1","0","2014"
"14177","elena","Completed","Published","Sundarbans National Park","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Sea level rise","Very High Threat","1","0","2014"
"20388","elena","Completed","Published","Banc d'Arguin National Park","Other","Other","Mechanical shellfish harvesting","Very Low Threat","0","0","2014"
"20388","elena","Completed","Published","Banc d'Arguin National Park","Energy Production and Mining","Oil/ Gas exploration/development","Pollution from oil exploration/exploitation and shipping","Very High Threat","0","1","2014"
"20388","elena","Completed","Published","Banc d'Arguin National Park","Energy Production and Mining","Mining/ Quarrying","Mining","High Threat","0","0","2014"
"20388","elena","Completed","Published","Banc d'Arguin National Park","Residential and Commercial Development","Housing/ Urban Areas","Infrastructure development","High Threat","0","0","2014"
"20388","elena","Completed","Published","Banc d'Arguin National Park","Agriculture and Aquaculture","Marine/ Freshwater Aquaculture","Aquaculture development","Data Deficient","1","0","2014"
"20388","elena","Completed","Published","Banc d'Arguin National Park","Climate Change and Severe Weather","Storms/Flooding","Climate change","Data Deficient","1","1","2014"
"220298","elena","Completed","Published","Central Suriname Nature Reserve","Climate Change and Severe Weather","Temperature extremes","Climate change","Low Threat","1","0","2014"
"220298","elena","Completed","Published","Central Suriname Nature Reserve","Energy Production and Mining","Mining/ Quarrying","Threats from outside the Reserve that could in the future affect the Reserve","Low Threat","0","1","2014"
"9545","elena","Completed","Published","Comoé National Park","Energy Production and Mining","Mining/ Quarrying","Mining","Data Deficient","1","0","2014"
"2015","elena","Completed","Published","Natural and Cultural Heritage of the Ohrid region","Transportation and Service Corridors","Shipping Lanes","Increasing number of leisure motorboats and excursion boats on the lake","High Threat","1","0","2014"
"124388","elena","Completed","Published","Laponian Area","Energy Production and Mining","Mining/ Quarrying","Mining prospecting at the vicinity of the site","Low Threat","1","1","2014"
"124388","elena","Completed","Published","Laponian Area","Climate Change and Severe Weather","Temperature extremes","Temperature raise having effects on sensitive subarctic ecosystems","Data Deficient","1","1","2014"
"124388","elena","Completed","Published","Laponian Area","Social/ Cultural Changes","Changes in traditional ways of life and knowledge systems","Modernization of techniques and use of motor vehicles (for herding)","Very Low Threat","1","1","2014"
"555512003","elena","Completed","Published","Putorana Plateau","Energy Production and Mining","Mining/ Quarrying","Mining","Low Threat","1","0","2014"
"555512003","elena","Completed","Published","Putorana Plateau","Residential and Commercial Development","Tourism/ Recreation Areas","Large-scale tourism development","Low Threat","0","1","2014"
"903138","elena","Completed","Published","Socotra Archipelago","Climate Change and Severe Weather","Droughts","Climate change","Data Deficient","1","1","2014"
"900879","elena","Completed","Published","Monte San Giorgio","Human Intrusions and Disturbance","Other Activities","Unmanaged collecting","Very Low Threat","1","0","2014"
"18863","elena","Completed","Published","Mount Athos","Energy Production and Mining","Mining/ Quarrying","Potential impacts from large-scale gold mining activity in case of accident","High Threat","0","1","2014"
"18863","elena","Completed","Published","Mount Athos","Energy Production and Mining","Renewable Energy","Strong demand for the installation of photovoltaic parks with potential impacts on the landscape","Low Threat","1","0","2014"
"902368","elena","Completed","Published","St Kilda","Energy Production and Mining","Oil/ Gas exploration/development","Potential oil  developments offshore","Data Deficient","1","1","2014"
"18863","elena","Completed","Published","Mount Athos","Geological Events","Earthquakes/ Tsunamis","Significant seismic risk of the wider region / Lack of risk preparedness study","Data Deficient","1","1","2014"
"18863","elena","Completed","Published","Mount Athos","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Potential climate change impacts","Data Deficient","1","0","2014"
"18863","elena","Completed","Published","Mount Athos","Biological Resource Use","Fishing / Harvesting Aquatic Resources","Demand for opening the area to commercial fishing","High Threat","1","0","2014"
"10906","elena","Completed","Published","Salonga National Park","Energy Production and Mining","Oil/ Gas exploration/development","Oil exploitation concessions","Low Threat","1","1","2014"
"555512006","elena","Completed","Published","Pitons, cirques and remparts of Reunion Island","Climate Change and Severe Weather","Droughts","Drought","Data Deficient","1","1","2014"
"902368","elena","Completed","Published","St Kilda","Biological Resource Use","Fishing / Harvesting Aquatic Resources","Overfishing out at sea","Data Deficient","0","1","2014"
"902368","elena","Completed","Published","St Kilda","Transportation and Service Corridors","Shipping Lanes","Moored vessels going aground","Very Low Threat","1","0","2014"
"902368","elena","Completed","Published","St Kilda","Transportation and Service Corridors","Flight Paths","Helicopter straying out of corridor","Very Low Threat","1","0","2014"
"902368","elena","Completed","Published","St Kilda","Human Intrusions and Disturbance","Other Activities","Sonar activities affecting cetaceans","Data Deficient","0","1","2014"
"902368","elena","Completed","Published","St Kilda","Pollution","Water Pollution","Oil slicks","Low Threat","0","1","2014"
"902368","elena","Completed","Published","St Kilda","Pollution","Industrial/ Military Effluents","Accidental fuel spillage","Very Low Threat","1","0","2014"
"902368","elena","Completed","Published","St Kilda","Pollution","Solid Waste","Spillage from skips, beach litter","Very Low Threat","1","0","2014"
"902368","elena","Completed","Published","St Kilda","Climate Change and Severe Weather","Temperature extremes","Sea temperatures affecting fish stocks/ seabird food resources","Data Deficient","0","1","2014"
"902368","elena","Completed","Published","St Kilda","Geological Events","Erosion and Siltation/ Deposition","Erosion to habitats, inland and coastal","Very Low Threat","1","0","2014"
"902368","elena","Completed","Published","St Kilda","Human Intrusions and Disturbance","War, Civil Unrest/ Military Exercises","Closure of the Base and its facilities","High Threat","1","0","2014"
"902368","elena","Completed","Published","St Kilda","Human Intrusions and Disturbance","Other Activities","Loss of human presence especially in winter","High Threat","1","0","2014"
"16792","elena","Completed","Published","Manovo-Gounda St Floris National Park","Energy Production and Mining","Oil/ Gas exploration/development","Prospection pétrolière","Data Deficient","1","1","2014"
"555542337","elena","Completed","Published","Wadi Rum Protected Area","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Habitat shifting / alteration","Data Deficient","0","0","2014"
"903062","elena","Completed","Published","Rainforests of the Atsinanana","Climate Change and Severe Weather","Droughts","Changes in rainfall patterns","Data Deficient","1","1","2014"
"903062","elena","Completed","Published","Rainforests of the Atsinanana","Climate Change and Severe Weather","Temperature extremes","Temperature change","Data Deficient","1","1","2014"
"903062","elena","Completed","Published","Rainforests of the Atsinanana","Social/ Cultural Changes","Changes in traditional ways of life and knowledge systems","Livelihood change","Data Deficient","0","1","2014"
"903062","elena","Completed","Published","Rainforests of the Atsinanana","Other","Other","Collection for pet trade","Very Low Threat","0","1","2014"
"10903","elena","Completed","Published","Talamanca Range-La Amistad Reserves / La Amistad National Park","Energy Production and Mining","Oil/ Gas exploration/development","Oil exploration","Very Low Threat","1","1","2014"
"10903","elena","Completed","Published","Talamanca Range-La Amistad Reserves / La Amistad National Park","Climate Change and Severe Weather","Temperature extremes","Climate change","Data Deficient","1","0","2014"
"10906","elena","Completed","Published","Salonga National Park","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Potential threat of disease transmission","Low Threat","1","1","2014"
"555512006","elena","Completed","Published","Pitons, cirques and remparts of Reunion Island","Climate Change and Severe Weather","Temperature extremes","Temperature change","Data Deficient","1","1","2014"
"12203","elena","Completed","Published","Iguaçu National Park","Transportation and Service Corridors","Roads/ Railroads","Pressure to re-open the “Estrada do Colono”","Very High Threat","0","0","2014"
"2574","elena","Completed","Published","Mount Nimba Strict Nature Reserve","Energy Production and Mining","Mining/ Quarrying","Exploitation minière","Very High Threat","0","1","2014"
"2574","elena","Completed","Published","Mount Nimba Strict Nature Reserve","Transportation and Service Corridors","Roads/ Railroads","Construction d'un chemin de fer","High Threat","0","1","2014"
"2574","elena","Completed","Published","Mount Nimba Strict Nature Reserve","Agriculture and Aquaculture","Crops","Empiètements agricoles","High Threat","1","1","2014"
"903138","elena","Completed","Published","Socotra Archipelago","Residential and Commercial Development","Tourism/ Recreation Areas","Unsustainable tourism","High Threat","1","1","2014"
"9628","elena","Completed","Published","Vallée de Mai Nature Reserve","Natural System Modifications","Fire/ Fire Suppression","Fire threat","High Threat","1","0","2014"
"903138","elena","Completed","Published","Socotra Archipelago","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Invasive species","Very High Threat","1","1","2014"
"555556049","elena","Completed","Published","Tajik National Park (Mountains of the Pamirs)","Transportation and Service Corridors","Roads/ Railroads","Small number of 4WD roads/tracks","Very Low Threat","1","1","2014"
"555556049","elena","Completed","Published","Tajik National Park (Mountains of the Pamirs)","Human Intrusions and Disturbance","War, Civil Unrest/ Military Exercises","Military exercises","Very Low Threat","1","1","2014"
"555556049","elena","Completed","Published","Tajik National Park (Mountains of the Pamirs)","Climate Change and Severe Weather","Storms/Flooding","More rapid melting of Pamir glaciers is giving problems in maintaining roads because of damage from river flooding","High Threat","1","1","2014"
"555556049","elena","Completed","Published","Tajik National Park (Mountains of the Pamirs)","Biological Resource Use","Fishing / Harvesting Aquatic Resources","Harvesting of slow-growing teresken for household fuel","High Threat","1","1","2014"
"555556049","elena","Completed","Published","Tajik National Park (Mountains of the Pamirs)","Geological Events","Earthquakes/ Tsunamis","Earthquakes","High Threat","1","1","2014"
"555556045","elena","Completed","Published","Xinjiang Tianshan","Residential and Commercial Development","Tourism/ Recreation Areas","Tourism development","Low Threat","1","0","2014"
"2006","elena","Completed","Published","Simien National Park","Residential and Commercial Development","Tourism/ Recreation Areas","Badly planned tourism infrastructure.","Low Threat","0","0","2014"
"2006","elena","Completed","Published","Simien National Park","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Climate change","Data Deficient","1","1","2014"
"2006","elena","Completed","Published","Simien National Park","Human Intrusions and Disturbance","Other Activities","Human population increase","Very High Threat","1","0","2014"
"2017","elena","Completed","Published","Virunga National Park","Energy Production and Mining","Oil/ Gas exploration/development","Oil exploration","Very High Threat","1","1","2014"
"555512006","elena","Completed","Published","Pitons, cirques and remparts of Reunion Island","Climate Change and Severe Weather","Storms/Flooding","Increase in intensity and frequency of cyclones","Data Deficient","1","1","2014"
"5005","elena","Completed","Published","Selous Game Reserve","Energy Production and Mining","Oil/ Gas exploration/development","Oil and mineral exploration","High Threat","1","0","2014"
"5005","elena","Completed","Published","Selous Game Reserve","Energy Production and Mining","Mining/ Quarrying","Uranium mining","High Threat","1","1","2014"
"5005","elena","Completed","Published","Selous Game Reserve","Natural System Modifications","Dams/ Water Management or Use","Dam construction","High Threat","0","1","2014"
"555542336","elena","Completed","Published","Ogasawara Islands","Transportation and Service Corridors","Utility / Service Lines","Construction of an airport","Low Threat","0","1","2014"
"555542336","elena","Completed","Published","Ogasawara Islands","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Potential  increase in visitation","Low Threat","1","0","2014"
"900883","elena","Completed","Published","Phong Nha-Ke Bang National Park","Transportation and Service Corridors","Roads/ Railroads","Road construction","Data Deficient","1","0","2014"
"902480","elena","Completed","Published","Dong Phayayen-Khao Yai Forest Complex","Natural System Modifications","Dams/ Water Management or Use","Potential impact from other dam construction","Data Deficient","1","0","2014"
"902480","elena","Completed","Published","Dong Phayayen-Khao Yai Forest Complex","Transportation and Service Corridors","Roads/ Railroads","Reopening of roads","Data Deficient","1","1","2014"
"5003","elena","Completed","Published","Taï National Park","Other","Other","Pression de l’agriculture sur le domaine rural et les  Forêts classées avoisinantes","Low Threat","1","1","2014"
"2578","elena","Completed","Published","Djoudj National Bird Sanctuary","Biological Resource Use","Fishing / Harvesting Aquatic Resources","Pêche","Low Threat","1","1","2014"
"2578","elena","Completed","Published","Djoudj National Bird Sanctuary","Agriculture and Aquaculture","Crops","Avancée du front agricole","Low Threat","1","1","2014"
"12202","elena","Completed","Published","Gondwana Rainforests of Australia","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Invasive species and pathogens","High Threat","1","1","2014"
"10907","elena","Completed","Published","Mana Pools National Park, Sapi and Chewore Safari Areas","Agriculture and Aquaculture","Crops","Development of irrigated agriculture","Very Low Threat","0","1","2014"
"10907","elena","Completed","Published","Mana Pools National Park, Sapi and Chewore Safari Areas","Natural System Modifications","Dams/ Water Management or Use","New dam construction","Low Threat","0","1","2014"
"10907","elena","Completed","Published","Mana Pools National Park, Sapi and Chewore Safari Areas","Biological Resource Use","Hunting (commercial/subsistence)","Commercial bushmeat poaching","Low Threat","1","1","2014"
"10907","elena","Completed","Published","Mana Pools National Park, Sapi and Chewore Safari Areas","Energy Production and Mining","Oil/ Gas exploration/development","Oil and other mineral prospection","High Threat","0","1","2014"
"555512002","elena","Completed","Published","Phoenix Islands Protected Area","Transportation and Service Corridors","Shipping Lanes","Potential ship groundings","Very Low Threat","1","1","2014"
"555512002","elena","Completed","Published","Phoenix Islands Protected Area","Climate Change and Severe Weather","Ocean acidification","Increasing ocean acidification and salinization of groundwater due to climate change","Low Threat","1","0","2014"
"555512002","elena","Completed","Published","Phoenix Islands Protected Area","Pollution","Industrial/ Military Effluents","Persistent Organic Pollutants (POP)","Very Low Threat","1","0","2014"
"903132","elena","Completed","Published","Teide National Park","Climate Change and Severe Weather","Temperature extremes","Temperature increase","Data Deficient","1","0","2014"
"903132","elena","Completed","Published","Teide National Park","Geological Events","Volcanoes","Possibility of new volcanic eruptions","Low Threat","1","0","2014"
"10903","elena","Completed","Published","Talamanca Range-La Amistad Reserves / La Amistad National Park","Natural System Modifications","Dams/ Water Management or Use","Construction of new dams","Low Threat","1","1","2014"
"10903","elena","Completed","Published","Talamanca Range-La Amistad Reserves / La Amistad National Park","Transportation and Service Corridors","Roads/ Railroads","Proposed road","Data Deficient","1","1","2014"
"9613","elena","Completed","Published","Pirin National Park","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Climate change","Low Threat","1","0","2014"
"9613","elena","Completed","Published","Pirin National Park","Residential and Commercial Development","Tourism/ Recreation Areas","Extension of ski zones","Very High Threat","1","1","2014"
"903139","elena","Completed","Published","Surtsey","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Invasive alien species","Low Threat","1","1","2014"
"903139","elena","Completed","Published","Surtsey","Other","Other","Man-made infrastructures on the island","Very Low Threat","1","1","2014"
"903139","elena","Completed","Published","Surtsey","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Climate change","Data Deficient","1","1","2014"
"903139","elena","Completed","Published","Surtsey","Geological Events","Volcanoes","Volcanic eruption","Very Low Threat","1","1","2014"
"12202","elena","Completed","Published","Gondwana Rainforests of Australia","Climate Change and Severe Weather","Temperature extremes","Climate change","Very High Threat","1","1","2014"
