"wdpa_id","screenname","status","stage","name_en","threat_category","threat_sub_category","rating","inside_site","outside_site","assessment_version_id","assessment_cycle"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Geological Events","Erosion and Siltation/ Deposition","Very Low Threat","1","0","4221","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Pollution","Water Pollution","Low Threat","1","1","4717","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Human Intrusions and Disturbance","War, Civil Unrest/ Military Exercises","Low Threat","1","1","4222","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Biological Resource Use","Hunting (commercial/subsistence)","Very High Threat","1","0","4222","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Biological Resource Use","Poaching","Very High Threat","1","0","4222","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Agriculture and Aquaculture","Livestock Farming / Grazing","Data Deficient","1","1","4222","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Agriculture and Aquaculture","Crop production","Low Threat","1","1","4222","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Biological Resource Use","Logging/ Wood Harvesting","Very High Threat","1","0","4222","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","High Threat","1","0","4222","2014"
"555547988","elena","Completed","Published","Sangha Trinational","Biological Resource Use","Hunting (commercial/subsistence)","High Threat","1","1","4985","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Natural System Modifications","Dams/ Water Management or Use","High Threat","1","1","4224","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Geological Events","Erosion and Siltation/ Deposition","Very Low Threat","1","0","4224","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Agriculture and Aquaculture","Livestock Farming / Grazing","Very Low Threat","1","1","4224","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Biological Resource Use","Hunting (commercial/subsistence)","Low Threat","1","1","4224","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Biological Resource Use","Fishing / Harvesting Aquatic Resources","Low Threat","1","1","4224","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Biological Resource Use","Poaching","Low Threat","1","1","4224","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","High Threat","1","1","4717","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Agriculture and Aquaculture","Crop production","Low Threat","1","0","4224","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Very Low Threat","1","0","4224","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Climate Change and Severe Weather","Droughts","Data Deficient","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Climate Change and Severe Weather","Temperature extremes","Data Deficient","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Data Deficient","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Biological Resource Use","Hunting (commercial/subsistence)","High Threat","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Biological Resource Use","Poaching","High Threat","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Agriculture and Aquaculture","Crops","Low Threat","0","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Biological Resource Use","Other Biological Resource Use","Low Threat","0","0","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Agriculture and Aquaculture","Forestry/ Wood production","Low Threat","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Natural System Modifications","Fire/ Fire Suppression","Data Deficient","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Natural System Modifications","Dams/ Water Management or Use","Data Deficient","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Pollution","Water Pollution","Data Deficient","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Geological Events","Erosion and Siltation/ Deposition","Data Deficient","1","1","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Climate Change and Severe Weather","Storms/Flooding","Data Deficient","0","0","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Data Deficient","0","0","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Climate Change and Severe Weather","Temperature extremes","Data Deficient","0","0","2812","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Climate Change and Severe Weather","Droughts","Data Deficient","0","0","2812","2014"
"4999","elena","Completed","Published","Tassili n'Ajjer National Park","Biological Resource Use","Hunting (commercial/subsistence)","High Threat","1","1","4218","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Residential and Commercial Development","Tourism/ Recreation Areas","High Threat","0","1","4717","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Climate Change and Severe Weather","Temperature extremes","Data Deficient","1","1","4415","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Natural System Modifications","Dams/ Water Management or Use","Low Threat","0","1","4717","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","High Threat","1","1","4415","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Climate Change and Severe Weather","Droughts","High Threat","1","1","4424","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Natural System Modifications","Fire/ Fire Suppression","High Threat","1","1","4424","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Very High Threat","1","1","4424","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Human Intrusions and Disturbance","War, Civil Unrest/ Military Exercises","Data Deficient","1","1","4424","2014"
"198292","elena","Completed","Published","Discovery Coast Atlantic Forest Reserves","Natural System Modifications","Fire/ Fire Suppression","Very High Threat","1","1","5531","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Social/ Cultural Changes","Changes in traditional ways of life and knowledge systems","High Threat","1","1","4424","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Biological Resource Use","Hunting (commercial/subsistence)","Very High Threat","1","1","4427","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Human Intrusions and Disturbance","War, Civil Unrest/ Military Exercises","Very High Threat","1","1","4427","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Energy Production and Mining","Mining/ Quarrying","High Threat","1","1","4427","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Biological Resource Use","Logging/ Wood Harvesting","Very High Threat","1","1","4427","2014"
"10907","vernonbooth","Completed","Assessment","Mana Pools National Park, Sapi and Chewore Safari Areas","Biological Resource Use","Fishing / Harvesting Aquatic Resources","Low Threat","1","0","6922","2017"
"10904","elena","Completed","Published","Lake Malawi National Park","Pollution","Solid Waste","High Threat","1","1","4431","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Biological Resource Use","Fishing / Harvesting Aquatic Resources","Low Threat","1","1","4431","2014"
"902902","elena","In Progress","Assessment","Sichuan Giant Panda Sanctuaries – Wolong, Mount Siguniang & Jiajin Mountains","Transportation and Service Corridors","Roads/ Railroads","High Threat","1","1","7441","2017"
"9613","tobias","In Progress","Assessment","Pirin National Park","Climate Change and Severe Weather","Temperature extremes","Data Deficient","1","1","6939","2017"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Invasive and Other Problematic Species and Genes","Hyper-Abundant Species","Low Threat","1","0","4209","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Pollution","Water Pollution","High Threat","1","1","4209","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Residential and Commercial Development","Tourism/ Recreation Areas","Low Threat","1","1","4209","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Other","Other","Data Deficient","0","0","4209","2014"
"4999","elena","Completed","Published","Tassili n'Ajjer National Park","Biological Resource Use","Other Biological Resource Use","High Threat","0","1","4218","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Energy Production and Mining","Mining/ Quarrying","Very Low Threat","1","1","4209","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Natural System Modifications","Dams/ Water Management or Use","Very High Threat","1","1","4209","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Natural System Modifications","Other Ecosystem Modifications","High Threat","0","0","4209","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Data Deficient","1","1","4209","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Natural System Modifications","Other Ecosystem Modifications","Low Threat","1","1","4211","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Climate Change and Severe Weather","Temperature extremes","High Threat","1","1","4211","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Climate Change and Severe Weather","Habitat Shifting/ Alteration","High Threat","1","1","4211","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Biological Resource Use","Hunting (commercial/subsistence)","Low Threat","0","1","4211","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Natural System Modifications","Fire/ Fire Suppression","High Threat","1","1","4211","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Biological Resource Use","Logging/ Wood Harvesting","Low Threat","0","1","4211","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","1","4211","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Data Deficient","1","0","4211","2014"
"4999","elena","Completed","Published","Tassili n'Ajjer National Park","Climate Change and Severe Weather","Desertification","Data Deficient","1","1","4218","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Biological Resource Use","Hunting (commercial/subsistence)","Very High Threat","1","1","4213","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Human Intrusions and Disturbance","War, Civil Unrest/ Military Exercises","Very High Threat","1","1","4213","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Energy Production and Mining","Mining/ Quarrying","Very High Threat","1","1","4213","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Agriculture and Aquaculture","Crops","High Threat","1","0","4213","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Human Intrusions and Disturbance","Other Activities","High Threat","1","1","4213","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Residential and Commercial Development","Housing/ Urban Areas","High Threat","1","1","4431","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Agriculture and Aquaculture","Marine/ Freshwater Aquaculture","Low Threat","0","1","4431","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Biological Resource Use","Fishing / Harvesting Aquatic Resources","High Threat","1","1","4431","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Geological Events","Erosion and Siltation/ Deposition","Very High Threat","1","1","4431","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Social/ Cultural Changes","Identity/ Social Cohesion/ Changes in local population and community","Very High Threat","1","1","4215","2014"
"4999","elena","Completed","Published","Tassili n'Ajjer National Park","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","1","4218","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Residential and Commercial Development","Housing/ Urban Areas","High Threat","1","0","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Residential and Commercial Development","Commercial/ Industrial Areas","High Threat","1","0","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Invasive and Other Problematic Species and Genes","Hyper-Abundant Species","Very High Threat","1","0","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Natural System Modifications","Other Ecosystem Modifications","Very Low Threat","0","1","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Transportation and Service Corridors","Roads/ Railroads","Low Threat","1","0","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Biological Resource Use","Hunting (commercial/subsistence)","Low Threat","1","0","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Biological Resource Use","Poaching","Low Threat","1","0","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Biological Resource Use","Logging/ Wood Harvesting","Low Threat","1","0","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Residential and Commercial Development","Tourism/ Recreation Areas","Low Threat","1","1","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","1","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Natural System Modifications","Fire/ Fire Suppression","Low Threat","1","0","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","High Threat","1","0","4215","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Natural System Modifications","Other Ecosystem Modifications","High Threat","1","1","4215","2014"
"902902","elena","In Progress","Assessment","Sichuan Giant Panda Sanctuaries – Wolong, Mount Siguniang & Jiajin Mountains","Pollution","Agricultural/ Forestry Effluents","Low Threat","1","1","7441","2017"
"168242","elena","Completed","Published","East Rennell","Biological Resource Use","Logging/ Wood Harvesting","Very High Threat","0","1","4719","2014"
"168242","elena","Completed","Published","East Rennell","Biological Resource Use","Fishing / Harvesting Aquatic Resources","High Threat","1","1","4719","2014"
"168242","elena","Completed","Published","East Rennell","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Very High Threat","1","1","4719","2014"
"168242","elena","Completed","Published","East Rennell","Social/ Cultural Changes","Identity/ Social Cohesion/ Changes in local population and community","Very High Threat","1","1","4719","2014"
"902902","elena","In Progress","Assessment","Sichuan Giant Panda Sanctuaries – Wolong, Mount Siguniang & Jiajin Mountains","Pollution","Solid Waste","Very Low Threat","1","1","7441","2017"
"2574","elena","Completed","Published","Mount Nimba Strict Nature Reserve","Social/ Cultural Changes","Identity/ Social Cohesion/ Changes in local population and community","Low Threat","0","1","4920","2014"
"555556049","elena","Completed","Published","Tajik National Park (Mountains of the Pamirs)","Residential and Commercial Development","Housing/ Urban Areas","Very Low Threat","1","0","4924","2014"
"12206","elena","Completed","Published","Garajonay National Park","Agriculture and Aquaculture","Livestock Farming / Grazing","Low Threat","1","1","4818","2014"
"12206","elena","Completed","Published","Garajonay National Park","Natural System Modifications","Fire/ Fire Suppression","Very High Threat","1","1","4818","2014"
"12206","elena","Completed","Published","Garajonay National Park","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","1","4818","2014"
"10745","elena","Completed","Published","Manas Wildlife Sanctuary","Biological Resource Use","Hunting (commercial/subsistence)","High Threat","1","0","4820","2014"
"10745","elena","Completed","Published","Manas Wildlife Sanctuary","Biological Resource Use","Poaching","High Threat","1","0","4820","2014"
"10745","elena","Completed","Published","Manas Wildlife Sanctuary","Other","Other","High Threat","1","0","4820","2014"
"10745","elena","Completed","Published","Manas Wildlife Sanctuary","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Low Threat","1","0","4820","2014"
"10745","elena","Completed","Published","Manas Wildlife Sanctuary","Biological Resource Use","Logging/ Wood Harvesting","Low Threat","1","1","4820","2014"
"10745","elena","Completed","Published","Manas Wildlife Sanctuary","Natural System Modifications","Dams/ Water Management or Use","High Threat","1","1","4820","2014"
"18862","elena","Completed","Published","Meteora","Biological Resource Use","Poaching","Very Low Threat","1","0","4843","2014"
"18862","elena","Completed","Published","Meteora","Other","Other","Very High Threat","1","0","4843","2014"
"198298","elena","Completed","Published","Lorentz National Park","Transportation and Service Corridors","Roads/ Railroads","High Threat","1","0","4836","2014"
"198298","elena","Completed","Published","Lorentz National Park","Human Intrusions and Disturbance","War, Civil Unrest/ Military Exercises","High Threat","1","1","4836","2014"
"198298","elena","Completed","Published","Lorentz National Park","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","High Threat","1","0","4836","2014"
"220292","elena","Completed","Published","Kinabalu Park","Geological Events","Erosion and Siltation/ Deposition","Low Threat","1","0","4838","2014"
"220292","elena","Completed","Published","Kinabalu Park","Agriculture and Aquaculture","Crops","Low Threat","1","1","4838","2014"
"220292","elena","Completed","Published","Kinabalu Park","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Low Threat","1","0","4838","2014"
"18862","elena","Completed","Published","Meteora","Biological Resource Use","Logging/ Wood Harvesting","Data Deficient","1","1","4843","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Biological Resource Use","Logging/ Wood Harvesting","Low Threat","1","0","4847","2014"
"903133","elena","Completed","Published","Joggins Fossil Cliffs","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","1","4842","2014"
"903133","elena","Completed","Published","Joggins Fossil Cliffs","Human Intrusions and Disturbance","Other Activities","Low Threat","1","0","4842","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Human Intrusions and Disturbance","Other Activities","Low Threat","1","0","4840","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","1","4840","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","High Threat","0","0","4840","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Pollution","Water Pollution","Very High Threat","0","1","4840","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Geological Events","Earthquakes/ Tsunamis","High Threat","0","1","4840","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Climate Change and Severe Weather","Habitat Shifting/ Alteration","High Threat","1","1","4840","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Climate Change and Severe Weather","Temperature extremes","High Threat","1","1","4840","2014"
"903133","elena","Completed","Published","Joggins Fossil Cliffs","Pollution","Solid Waste","Very Low Threat","1","1","4842","2014"
"18862","elena","Completed","Published","Meteora","Natural System Modifications","Other Ecosystem Modifications","Low Threat","0","1","4843","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Other","Other","High Threat","1","1","4840","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Residential and Commercial Development","Housing/ Urban Areas","High Threat","1","0","4840","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Transportation and Service Corridors","Shipping Lanes","High Threat","1","1","4840","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Transportation and Service Corridors","Flight Paths","Low Threat","0","0","4840","2014"
"555512001","elena","Completed","Published","Papahanaumokuakea","Pollution","Industrial/ Military Effluents","High Threat","1","0","4840","2014"
"18862","elena","Completed","Published","Meteora","Pollution","Water Pollution","High Threat","0","1","4843","2014"
"18862","elena","Completed","Published","Meteora","Social/ Cultural Changes","Identity/ Social Cohesion/ Changes in local population and community","Low Threat","0","1","4843","2014"
"18862","elena","Completed","Published","Meteora","Residential and Commercial Development","Housing/ Urban Areas","Low Threat","0","1","4843","2014"
"18862","elena","Completed","Published","Meteora","Residential and Commercial Development","Tourism/ Recreation Areas","Low Threat","1","0","4843","2014"
"18862","elena","Completed","Published","Meteora","Agriculture and Aquaculture","Livestock Farming / Grazing","Low Threat","0","1","4843","2014"
"18862","elena","Completed","Published","Meteora","Energy Production and Mining","Mining/ Quarrying","Low Threat","0","1","4843","2014"
"18862","elena","Completed","Published","Meteora","Transportation and Service Corridors","Roads/ Railroads","Low Threat","1","0","4843","2014"
"18862","elena","Completed","Published","Meteora","Transportation and Service Corridors","Utility / Service Lines","Low Threat","1","0","4843","2014"
"903130","elena","Completed","Published","Jeju Volcanic Island and Lava Tubes","Transportation and Service Corridors","Roads/ Railroads","Low Threat","1","1","4857","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Transportation and Service Corridors","Roads/ Railroads","High Threat","1","1","4845","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Other","Other","Low Threat","1","1","4845","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Biological Resource Use","Hunting (commercial/subsistence)","High Threat","1","1","4847","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Natural System Modifications","Other Ecosystem Modifications","High Threat","1","1","4845","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Natural System Modifications","Dams/ Water Management or Use","High Threat","1","1","4845","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","1","4845","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Energy Production and Mining","Mining/ Quarrying","Low Threat","1","1","4845","2014"
"555556046","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Low Threat","1","1","4845","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Biological Resource Use","Poaching","Low Threat","1","1","4847","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Agriculture and Aquaculture","Forestry/ Wood production","High Threat","0","1","4847","2014"
"900630","elena","Completed","Published","Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks","Agriculture and Aquaculture","Crop production","High Threat","1","1","4849","2014"
"900630","elena","Completed","Published","Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks","Residential and Commercial Development","Tourism/ Recreation Areas","Very Low Threat","1","1","4849","2014"
"903130","elena","Completed","Published","Jeju Volcanic Island and Lava Tubes","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Low Threat","1","0","4857","2014"
"903130","elena","Completed","Published","Jeju Volcanic Island and Lava Tubes","Transportation and Service Corridors","Utility / Service Lines","Low Threat","0","1","4857","2014"
"903130","elena","Completed","Published","Jeju Volcanic Island and Lava Tubes","Residential and Commercial Development","Tourism/ Recreation Areas","Low Threat","0","1","4857","2014"
"900630","elena","Completed","Published","Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks","Natural System Modifications","Fire/ Fire Suppression","Very High Threat","1","1","4849","2014"
"4326","elena","Completed","Published","Durmitor National Park","Residential and Commercial Development","Housing/ Urban Areas","High Threat","1","1","4851","2014"
"4326","elena","Completed","Published","Durmitor National Park","Residential and Commercial Development","Tourism/ Recreation Areas","High Threat","1","1","4851","2014"
"4326","elena","Completed","Published","Durmitor National Park","Energy Production and Mining","Mining/ Quarrying","Low Threat","0","1","4851","2014"
"4326","elena","Completed","Published","Durmitor National Park","Transportation and Service Corridors","Utility / Service Lines","Data Deficient","1","1","4851","2014"
"4326","elena","Completed","Published","Durmitor National Park","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","1","4851","2014"
"4326","elena","Completed","Published","Durmitor National Park","Biological Resource Use","Logging/ Wood Harvesting","High Threat","1","1","4851","2014"
"4326","elena","Completed","Published","Durmitor National Park","Natural System Modifications","Dams/ Water Management or Use","High Threat","1","1","4851","2014"
"4326","elena","Completed","Published","Durmitor National Park","Biological Resource Use","Hunting (commercial/subsistence)","High Threat","1","1","4851","2014"
"4326","elena","Completed","Published","Durmitor National Park","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Low Threat","1","1","4851","2014"
"478637","elena","Completed","Published","Göreme National Park and the Rock Sites of Cappadocia","Residential and Commercial Development","Tourism/ Recreation Areas","High Threat","1","0","4853","2014"
"478637","elena","Completed","Published","Göreme National Park and the Rock Sites of Cappadocia","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","High Threat","1","1","4853","2014"
