"wdpa_id","assessment_version_id","screenname","status","stage","name_en","values_","criterion","trend","state_","is_biodiv_whval","assessment_cycle"
"61608","2812","alok","Completed","Published","Rwenzori Mountains National Park","Diversity of habitats","10","Data Deficient","Data Deficient","0","2014"
"20171","4424","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Aire naturelle d’une beauté unique et exceptionnelle en Afrique de l’Ouest","7","Deteriorating","High Concern","0","2014"
"20171","4424","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","La diversité des formes géomorphologiques","7","Stable","Low Concern","0","2014"
"12207","7630","mizuki","Completed","Review","Giant's Causeway and Causeway Coast","Extraordinary geological complex formed by basaltic lava flows","8","Stable","Good","0","2017"
"12207","7630","mizuki","Completed","Review","Giant's Causeway and Causeway Coast","Geological spectacle of exceptional natural beauty","7","Improving","High Concern","0","2017"
"4328","4427","elena","Completed","Published","Kahuzi-Biéga National Park","Presence of emblematic and endangered mammal species.","10","Stable","High Concern","0","2014"
"4328","4427","elena","Completed","Published","Kahuzi-Biéga National Park","Mid altitude and montane tropical forests representative of the Albertine Rift, a zone of exceptional biodiversity and endemism.","10","Improving","High Concern","0","2014"
"10902","7631","mizuki","Completed","Review","Wood Buffalo National Park","Globally largest population of free-ranging Wood Bison","10","Stable","Low Concern","0","2017"
"902347","4415","elena","Completed","Published","Cape Floral Region Protected Areas","Outstanding diversity, density and endemism of flora","10","Stable","Low Concern","0","2014"
"902347","4415","elena","Completed","Published","Cape Floral Region Protected Areas","Ongoing ecological and biological processes associated with the evolution of the unique Fynbos biome","9","Stable","Low Concern","0","2014"
"124389","4213","elena","Completed","Published","Okapi Wildlife Reserve","Presence of emblematic and endangered mammal species.","10","Deteriorating","High Concern","0","2014"
"124389","4213","elena","Completed","Published","Okapi Wildlife Reserve","Pleistocene refuge of central African tropical rainforest flora and fauna with several endemic species and high biodiversity.","10","Stable","Low Concern","0","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Outstanding natural beauty of lake in Rift Valley","7","Stable","Low Concern","0","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Key example of evolutionary processes","9","Stable","Data Deficient","0","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Extraordinary diversity of fish species","10","Data Deficient","High Concern","0","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Extremely high levels of species endemism","10","Stable","Low Concern","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Large, ecologically dynamic self-sustaining ecosystem","9","Stable","Low Concern","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Rare and endangered species","10","Improving","Low Concern","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Diversity of other fauna and flora","10","Data Deficient","Data Deficient","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Complex and complete mammalian community","10","Stable","Good","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Dynamic complex of on-going evolutionary processes","9","Data Deficient","Data Deficient","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Outstanding geomorphic features and ongoing geological processes","8","Stable","Good","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Diversity of ecological communities","9","Data Deficient","Data Deficient","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Diversity of ecological communities","7","Data Deficient","Data Deficient","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Outstanding scenery","7","Deteriorating","Low Concern","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Greatest mammal migration on Earth","10","Stable","Good","0","2014"
"2010","4215","elena","Completed","Published","Ngorongoro Conservation Area","Greatest mammal migration on Earth","7","Stable","Good","0","2014"
"2580","4433","elena","Completed","Published","Niokolo-Koba National Park","Ecosystèmes exceptionnels de la zone bioclimatique soudanaise avec une fore diversité de faune et flore.","10","Data Deficient","Critical","0","2014"
"4999","4218","elena","Completed","Published","Tassili n'Ajjer National Park","Geological records of transition of hydrographic system from fluvial to hyper-arid conditions","8","Stable","Low Concern","0","2014"
"4999","4218","elena","Completed","Published","Tassili n'Ajjer National Park","Exceptional scenic beauty of deeply eroded north-facing cliffs, gorges and valleys","7","Stable","Low Concern","0","2014"
"555624858","7632","elena","Completed","Assessment","Los Alerces National Park","Globally important undisturbed areas of Patagonian Forest with elements of Valdivian Temperate Forest","10","Stable","Good","0","2017"
"67727","4222","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Habitats importants pour la survie d'espèces menacées","10","Deteriorating","Critical","0","2014"
"902487","4221","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","> 400 skeletons of a wide variety of fossilized Eocene whales and other marine fossils","8","Stable","Good","0","2014"
"67727","4222","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Le dernier bastion de la faune sauvage sahélo-saharienne du Niger, avec une grande variété d'habitats","9","Deteriorating","Critical","0","2014"
"67727","4222","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Un assemblage remarquable d'écosystèmes reliques combiné à des paysages exceptionnels","7","Deteriorating","High Concern","0","2014"
"4322","4224","elena","Completed","Translated","Ichkeul National Park","Wintering area for palaearctic waterfowl","10","Improving","High Concern","0","2014"
"4322","4224","elena","Completed","Translated","Ichkeul National Park","Waterbirds of global conservation concern","10","Improving","Data Deficient","0","2014"
"4322","4224","elena","Completed","Translated","Ichkeul National Park","Freshwater and wetland vegetation","10","Improving","High Concern","0","2014"
"10902","7631","mizuki","Completed","Review","Wood Buffalo National Park","Extraordinary concentrations of migratory waterfowl and other wildlife","7","Data Deficient","Low Concern","0","2017"
"10902","7631","mizuki","Completed","Review","Wood Buffalo National Park","Massive and complex inland delta","10","Deteriorating","High Concern","0","2017"
"10902","7631","mizuki","Completed","Review","Wood Buffalo National Park","Massive and complex inland delta","7","Deteriorating","High Concern","0","2017"
"10902","7631","mizuki","Completed","Review","Wood Buffalo National Park","Irreplaceable example of a large Great Plains-Boreal Grasslands Ecosystem","9","Stable","Low Concern","0","2017"
"10902","7631","mizuki","Completed","Review","Wood Buffalo National Park","Unique salt plains and gypsum karst landscape","9","Stable","Good","0","2017"
"10902","7631","mizuki","Completed","Review","Wood Buffalo National Park","Unique salt plains and gypsum karst landscape","7","Stable","Good","0","2017"
"903132","6974","mizuki","Completed","Assessment","Teide National Park","Exceptionally clear skies, the changing tonalities and shades","7","Stable","Good","0","2017"
"10902","7631","mizuki","Completed","Review","Wood Buffalo National Park","Mosaic of mostly intact ecosystems permitting processes with a high degree of naturalness at a large scale","9","Stable","Low Concern","0","2017"
"10902","7631","mizuki","Completed","Review","Wood Buffalo National Park","Only summer range and breeding ground of wild Whooping Crane (Grus americana)","10","Improving","Low Concern","0","2017"
"67726","7422","remco","Completed","Assessment","Ujung Kulon National Park","Stronghold for Javan Rhinoceros","10","Stable","High Concern","0","2017"
"2016","7106","elenaperez","Completed","Assessment","Plitvice Lakes National Park","Natural travertine dams and waterfalls","8","Deteriorating","High Concern","0","2017"
"10904","7603","mizuki","Completed","Review","Lake Malawi National Park","Extraordinary diversity of fish species","10","Deteriorating","High Concern","0","2017"
"555624858","7632","elena","Completed","Assessment","Los Alerces National Park","Majestic natural landscape","7","Stable","Good","0","2017"
"903062","7633","mizuki","Completed","Review","Rainforests of the Atsinanana","Ongoing ecological processes necessary for the survival of Madagascar's unique biodiversity","9","Deteriorating","Low Concern","0","2017"
"903062","7633","mizuki","Completed","Review","Rainforests of the Atsinanana","Rare and threatened mammals","10","Deteriorating","High Concern","0","2017"
"903062","7633","mizuki","Completed","Review","Rainforests of the Atsinanana","Diversity of habitats","10","Deteriorating","Low Concern","0","2017"
"903062","7633","mizuki","Completed","Review","Rainforests of the Atsinanana","Rich endemic flora","10","Deteriorating","Low Concern","0","2017"
"903062","7633","mizuki","Completed","Review","Rainforests of the Atsinanana","Rare and endemic birds","10","Deteriorating","Low Concern","0","2017"
"2012","7634","mizuki","Completed","Review","Everglades National Park","Large, flat, low-lying landscape","8","Deteriorating","High Concern","0","2017"
"2012","7634","mizuki","Completed","Review","Everglades National Park","One of the most active areas of modern carbonate sedimentation","8","Data Deficient","Data Deficient","0","2017"
"2012","7634","mizuki","Completed","Review","Everglades National Park","Diverse array of habitats","9","Deteriorating","Critical","0","2017"
"2012","7634","mizuki","Completed","Review","Everglades National Park","Oligotrophic ecosystem","9","Deteriorating","Critical","0","2017"
"2012","7634","mizuki","Completed","Review","Everglades National Park","Biodiversity sustained through trophic interactions","9","Stable","High Concern","0","2017"
"2012","7634","mizuki","Completed","Review","Everglades National Park","A uniquely diverse combination of species from different biogeographic realms","9","Deteriorating","High Concern","0","2017"
"2012","7634","mizuki","Completed","Review","Everglades National Park","Threatened, endangered and endemic species","10","Deteriorating","High Concern","0","2017"
"2012","7634","mizuki","Completed","Review","Everglades National Park","Essential wading bird habitat","10","Deteriorating","High Concern","0","2017"
"900883","7172","remco","Completed","Assessment","Phong Nha-Ke Bang National Park","Habitat diversity","9","Stable","Good","0","2017"
"900883","7172","remco","Completed","Assessment","Phong Nha-Ke Bang National Park","Ongoing development of ecosystems","9","Stable","Low Concern","0","2017"
"900883","7172","remco","Completed","Assessment","Phong Nha-Ke Bang National Park","Floral diversity","10","Data Deficient","Data Deficient","0","2017"
"5000","7320","tilman","Completed","Assessment","Tasmanian Wilderness","Endemic and threatened freshwater fish","10","Deteriorating","High Concern","0","2017"
"555547992","4999","elena","Completed","Published","Rock Islands Southern Lagoon","Marine lakes and associated species","9","Stable","Low Concern","0","2014"
"67732","7397","elenaperez","Completed","Assessment","Jiuzhaigou Valley Scenic and Historic Interest Area","Landscape of outstanding natural beauty","7","Data Deficient","Low Concern","0","2017"
"555547988","7635","remco","Completed","Review","Sangha Trinational","Presence of emblematic and endangered mammal and plant species","10","Deteriorating","Low Concern","0","2017"
"555547988","7635","remco","Completed","Review","Sangha Trinational","Extensive area of intact lowland tropical rainforest containing a wide range of habitat types and high biodiversity.","9","Deteriorating","Low Concern","0","2017"
"2571","7359","naomi","Completed","Assessment","Great Barrier Reef","Outstanding on-going ecological and biological processes in the evolution and development of coastal and marine ecosystems and communities of plants and animals.","9","Deteriorating","High Concern","0","2017"
"2017","7636","remco","Completed","Review","Virunga National Park","Presence of several endangered and emblematic mammal species","10","Data Deficient","High Concern","0","2017"
"26689","7637","mizuki","Completed","Review","Canadian Rocky Mountain Parks","Glacial processes","8","Deteriorating","Critical","0","2017"
"900883","7172","remco","Completed","Assessment","Phong Nha-Ke Bang National Park","Significant species of fauna","10","Deteriorating","High Concern","0","2017"
"2017","7636","remco","Completed","Review","Virunga National Park","Aesthetically spectacular afro-montane and alpine landscape of Rwenzori Mountains","7","Data Deficient","Good","0","2017"
"2017","7636","remco","Completed","Review","Virunga National Park","Active and extinct volcanoes as a result of ongoing tectonic movements along the Albertine Rift","8","Data Deficient","Good","0","2017"
"26689","7637","mizuki","Completed","Review","Canadian Rocky Mountain Parks","Fossils","8","Stable","Good","0","2017"
"2017","7636","remco","Completed","Review","Virunga National Park","Exceptionally high biodiversity resulting from a unique combination of uninterrupted gradient of habitat types from 680m to 5,109m and geographic location within three bio-geographic regions.","10","Data Deficient","High Concern","0","2017"
"2017","7636","remco","Completed","Review","Virunga National Park","Aesthetically spectacular concentrations of large mammal fauna in the savanna plains, particularly hippos.","7","Data Deficient","Critical","0","2017"
"2017","7636","remco","Completed","Review","Virunga National Park","Spectacular Virunga volcanoes with frequent volcanic activity","7","Data Deficient","Low Concern","0","2017"
"2017","7636","remco","Completed","Review","Virunga National Park","Rwenzori Mountains, uplifted from the floor of the Albertine Rift as a result of recent (<3m years) movement of tectonic plates","8","Stable","Good","0","2017"
"2017","7636","remco","Completed","Review","Virunga National Park","Endemic species","10","Data Deficient","Critical","0","2017"
"2571","7359","naomi","Completed","Assessment","Great Barrier Reef","Outstanding diversity of invertebrate species, including hard and soft corals","10","Deteriorating","Critical","0","2017"
"26689","7637","mizuki","Completed","Review","Canadian Rocky Mountain Parks","Natural Scenic Beauty","7","Deteriorating","High Concern","0","2017"
"478640","4717","elena","Completed","Published","Hierapolis-Pamukkale","Visually stunning landscape of calcite deposits forming white travertine terraces","7","Stable","Low Concern","0","2014"
"168242","4719","elena","Completed","Published","East Rennell","Exceptional stepping-stone for on-going speciation processes (particularly avifauna) in the western Pacific","9","Deteriorating","High Concern","0","2014"
"168242","4719","elena","Completed","Published","East Rennell","Important site for the study of island biogeography","9","Stable","Low Concern","0","2014"
"555512005","7429","elena","Completed","Assessment","China Danxia","An exceptionally beautiful landscape","7","Stable","Low Concern","0","2017"
"17757","7154","elenaperez","Completed","Assessment","Wet Tropics of Queensland","Living examples of ancient and primitive rainforest species","8","Deteriorating","High Concern","0","2017"
"197","7324","tilman","Completed","Assessment","Tikal National Park","High diversity of partially endangered fauna and flora","10","Deteriorating","Low Concern","0","2017"
"2008","7481","elenaperez","Completed","Assessment","Bialowieza Forest","Diverse complex of forest ecosystems with extensive old-growth forests","9","Deteriorating","High Concern","0","2017"
"67730","7638","elena","Completed","Review","Fraser Island","Largest sand island in the world with spectacular beaches, cliffs and blowouts","7","Stable","Low Concern","0","2017"
"67730","7638","elena","Completed","Review","Fraser Island","Tall rainforest growing on high coastal sand dunes","7","Stable","Low Concern","0","2017"
"67730","7638","elena","Completed","Review","Fraser Island","Largest unconfined aquifer and perched freshwater dune lakes","7","Stable","Low Concern","0","2017"
"220293","5168","elena","Completed","Published","Gunung Mulu National Park","Spectacular caves","7","Stable","Good","0","2014"
"67730","7638","elena","Completed","Review","Fraser Island","Most complete age sequence of coastal dune systems","8","Stable","Low Concern","0","2017"
"555512002","4955","elena","Completed","Published","Phoenix Islands Protected Area","Exceptional horizontal and vertical scale of the property and number of intact seamounts","7","Stable","Good","0","2014"
"12206","4818","elena","Completed","Published","Garajonay National Park","Exceptional remnants of a rare and exceptionally beautiful forest type","7","Improving","High Concern","0","2014"
"12206","4818","elena","Completed","Published","Garajonay National Park","Laurel forest with very high degree of floral and faunal endemism","9","Improving","High Concern","0","2014"
"555512001","4840","elena","Completed","Published","Papahanaumokuakea","Unique reef ecosystems","9","Stable","Low Concern","0","2014"
"10745","4820","elena","Completed","Published","Manas Wildlife Sanctuary","Wilderness area of exceptional natural beauty","7","Data Deficient","High Concern","0","2014"
"10745","4820","elena","Completed","Published","Manas Wildlife Sanctuary","Dynamic ecological processes supporting a rich diversity of ecosystems","9","Stable","Low Concern","0","2014"
"10745","4820","elena","Completed","Published","Manas Wildlife Sanctuary","High plant and animal diversity","10","Data Deficient","Data Deficient","0","2014"
"10745","4820","elena","Completed","Published","Manas Wildlife Sanctuary","Threatened species of mammals","10","Data Deficient","Data Deficient","0","2014"
"902899","4871","elena","Completed","Published","Malpelo Fauna and Flora Sanctuary","ExUndisturbed marine wilderness","7","Stable","Low Concern","0","2014"
"67730","7638","elena","Completed","Review","Fraser Island","Unique process of soil formation with deepest podzols in the world","8","Stable","Low Concern","0","2017"
"67730","7638","elena","Completed","Review","Fraser Island","Unique flora and fauna demonstrating ongoing succession, speciation and radiation","9","Stable","Low Concern","0","2017"
"5001","7639","elena","Completed","Review","Lord Howe Island Group","Spectacular and scenic landscape","7","Stable","Good","0","2017"
"5001","7639","elena","Completed","Review","Lord Howe Island Group","Outstanding underwater vistas","7","Deteriorating","Low Concern","0","2017"
"5001","7639","elena","Completed","Review","Lord Howe Island Group","Rare plants and threatened wildlife","10","Deteriorating","Low Concern","0","2017"
"5001","7639","elena","Completed","Review","Lord Howe Island Group","Outstanding example of the development of a characteristic insular biota","10","Deteriorating","Low Concern","0","2017"
"555547987","7252","elenaperez","Completed","Assessment","Lakes of Ounianga","An exceptional example of permanent lakes in a desert setting","7","Stable","Low Concern","0","2017"
"902481","7272","elena","Completed","Assessment","Islands and Protected Areas of the Gulf of California","Diversity of terrestrial and marine life","10","Deteriorating","High Concern","0","2017"
"26649","7462","elenaperez","Completed","Assessment","Tongariro National Park","Volcanic mountain landscape of exceptional natural beauty","7","Stable","Good","0","2017"
"555622046","7406","elena","In Progress","Assessment","Mistaken Point","An outstanding record of a critical milestone in the history of life on Earth “when life got big”","8","Stable","Good","0","2017"
"902899","4871","elena","Completed","Published","Malpelo Fauna and Flora Sanctuary","Globally significant and largely pristine marine protected area with unaltered and non-threatened ecosystems","9","Stable","Low Concern","0","2014"
"198298","4836","elena","Completed","Published","Lorentz National Park","Graphic evidence of tectonic collision and uplift strata and the geomorphological effect of the last glacial and post-glacial periods","8","Stable","Low Concern","0","2014"
"198298","4836","elena","Completed","Published","Lorentz National Park","Fossil evidence of post Pleistocene mammal extinctions.","8","Data Deficient","Data Deficient","0","2014"
"198298","4836","elena","Completed","Published","Lorentz National Park","A centre of on-going ecological and biological evolution","9","Stable","Good","0","2014"
"198298","4836","elena","Completed","Published","Lorentz National Park","Diversity of habitats","10","Deteriorating","Low Concern","0","2014"
"198298","4836","elena","Completed","Published","Lorentz National Park","Diversity of species","10","Data Deficient","Low Concern","0","2014"
"198298","4836","elena","Completed","Published","Lorentz National Park","Rich montane flora with many endemic species and species with overlapping Gondwana and Asian links.","10","Deteriorating","High Concern","0","2014"
"145583","4873","elena","Completed","Published","Morne Trois Pitons National Park","Scenic volcanic features of great scientific interest","8","Stable","Good","0","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","High floral and faunal diversity","10","Stable","Good","0","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","Threatened species and endemics","10","Stable","Good","0","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","An exceptional array of naturally functioning ecosystems","9","Stable","Low Concern","0","2014"
"555512001","4840","elena","Completed","Published","Papahanaumokuakea","Illustrating example of island hotspot progression","7","Stable","Low Concern","0","2014"
"555512001","4840","elena","Completed","Published","Papahanaumokuakea","Multitude of habitats and species assemblages","9","Stable","Low Concern","0","2014"
"555512001","4840","elena","Completed","Published","Papahanaumokuakea","Remarkable example of ongoing evolutionary and bio-geographical processes","9","Improving","Low Concern","0","2014"
"555512001","4840","elena","Completed","Published","Papahanaumokuakea","Endangered and vulnerable species","10","Stable","Low Concern","0","2014"
"555512001","4840","elena","Completed","Published","Papahanaumokuakea","Largest tropical seabird rookery in the world","10","Stable","High Concern","0","2014"
"903133","4842","elena","Completed","Published","Joggins Fossil Cliffs","In situ fossil record of terrestrial life in the “Coal Age”","8","Stable","Good","0","2014"
"903133","4842","elena","Completed","Published","Joggins Fossil Cliffs","Ex situ fossil record","8","Stable","Good","0","2014"
"903133","4842","elena","Completed","Published","Joggins Fossil Cliffs","Continued natural coastal erosion maintaining the integrity of the property","8","Stable","Good","0","2014"
"903133","4842","elena","Completed","Published","Joggins Fossil Cliffs","Continued scientific research","8","Stable","Good","0","2014"
"18862","4843","elena","Completed","Published","Meteora","Superlative natural phenomenon","7","Stable","Low Concern","0","2014"
"18862","4843","elena","Completed","Published","Meteora","Landscape of exceptional natural beauty and aesthetic importance","7","Stable","Low Concern","0","2014"
"555556046","4845","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Extraordinary landscape beauty","7","Stable","Low Concern","0","2014"
"555556046","4845","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Extraordinary volcanic and geological features","8","Improving","Low Concern","0","2014"
"555556046","4845","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Scientific importance of volcanic and geological features","8","Stable","Good","0","2014"
"555556046","4845","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Rare, endangered and endemic species of flora and fauna","10","Stable","Low Concern","0","2014"
"555556046","4845","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Scientific importance (desert ecology and biology)","10","Stable","Low Concern","0","2014"
"903129","4847","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Interface inhabituelle entre des milieux de savane et de forêt","9","Data Deficient","Low Concern","0","2014"
"903129","4847","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Zone d'intérêt exceptionnel pour la flore des forêts ombrophiles du Congo","10","Data Deficient","Low Concern","0","2014"
"903129","4847","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Espèces menacées","10","Data Deficient","High Concern","0","2014"
"900630","4849","elena","Completed","Published","Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks","Key role in maintaining the biodiversity of the Cerrado Ecoregion","9","Deteriorating","Low Concern","0","2014"
"900630","4849","elena","Completed","Published","Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks","Key habitats and species that characterize the Cerrado Ecoregion","10","Deteriorating","Low Concern","0","2014"
"4326","4851","elena","Completed","Published","Durmitor National Park","Exceptional natural beauty","7","Deteriorating","High Concern","0","2014"
"4326","4851","elena","Completed","Published","Durmitor National Park","Geological features","8","Stable","Low Concern","0","2014"
"4326","4851","elena","Completed","Published","Durmitor National Park","Rare and endemic species","10","Stable","Low Concern","0","2014"
"478637","4853","elena","Completed","Published","Göreme National Park and the Rock Sites of Cappadocia","Superlative natural features and spectacular landscape","7","Stable","Low Concern","0","2014"
"902481","4855","elena","Completed","Approved","Islands and Protected Areas of the Gulf of California","Striking natural beauty","7","Stable","Good","0","2014"
"902481","4855","elena","Completed","Approved","Islands and Protected Areas of the Gulf of California","A natural laboratory for the study of speciation and oceanographic processes","9","Data Deficient","Data Deficient","0","2014"
"902481","4855","elena","Completed","Approved","Islands and Protected Areas of the Gulf of California","Diversity of terrestrial and marine life","10","Stable","Good","0","2014"
"145586","4865","elena","Completed","Published","Lake Turkana National Parks","Diversity and abundance of birds","10","Data Deficient","Data Deficient","0","2014"
"145586","4865","elena","Completed","Published","Lake Turkana National Parks","Rare and endangered fauna","10","Deteriorating","Critical","0","2014"
"145586","4865","elena","Completed","Published","Lake Turkana National Parks","Endemic species of fish","10","Data Deficient","Data Deficient","0","2014"
"903138","4922","elena","Completed","Published","Socotra Archipelago","Endemic invertebrates with their habitats","10","Data Deficient","Data Deficient","0","2014"
"903130","4857","elena","Completed","Published","Jeju Volcanic Island and Lava Tubes","An outstanding shield volcano with an extensive lava tube system","7","Stable","Good","0","2014"
"903130","4857","elena","Completed","Published","Jeju Volcanic Island and Lava Tubes","One of few shield volcanoes in the world on a stationary continental crust plate, with the world’s best developed system of lava tubes","8","Stable","Good","0","2014"
"2570","4859","elena","Completed","Published","Los Glaciares National Park","Exceptional natural beauty modeled by the glaciations phenomenon","7","Deteriorating","High Concern","0","2014"
"2570","4859","elena","Completed","Published","Los Glaciares National Park","Geological, geomorphic and physiographic phenomenon caused by the advance and retreat of the glaciations","8","Stable","Low Concern","0","2014"
"903136","4861","elena","Completed","Published","Mount Sanqingshan National Park","Landscape of exceptional scenic quality","7","Data Deficient","Good","0","2014"
"145586","4865","elena","Completed","Published","Lake Turkana National Parks","Fossil deposits","8","Stable","Good","0","2014"
"145586","4865","elena","Completed","Published","Lake Turkana National Parks","Complex of geological features","7","Stable","Low Concern","0","2014"
"145586","4865","elena","Completed","Published","Lake Turkana National Parks","Diversity of aquatic and lakeshore habitats in a semi-desert environment","10","Deteriorating","Critical","0","2014"
"4327","4866","elena","Completed","Published","Garamba National Park","Geographic location within the transition zone between two bio-geographically important centers of endemism (Guinean-Congo and Guinean-Sudanese)","10","Data Deficient","Low Concern","0","2014"
"4327","4866","elena","Completed","Published","Garamba National Park","Presence of emblematic,   endangered and/or endemic mammal species.","10","Data Deficient","Critical","0","2014"
"145583","4873","elena","Completed","Published","Morne Trois Pitons National Park","Rich biodiversity with endemic plant and animal species","10","Deteriorating","High Concern","0","2014"
"4327","4866","elena","Completed","Published","Garamba National Park","Large expanse of guinea savannahs with the potential to support an exceptionally high large mammal biomass.","7","Stable","Good","0","2014"
"555542338","7393","elena","In Progress","Assessment","Ningaloo Coast","High diversity of reptiles","10","Data Deficient","Good","0","2017"
"903138","4922","elena","Completed","Published","Socotra Archipelago","Coastal/marine biodiversity and habitats","10","Deteriorating","Low Concern","0","2014"
"26649","4888","elena","Completed","Published","Tongariro National Park","Volcanic mountain landscape of exceptional natural beauty","7","Stable","Good","0","2014"
"26649","4888","elena","Completed","Published","Tongariro National Park","The most frequently active composite volcano complex in the world","8","Stable","Good","0","2014"
"900878","5149","elena","Completed","Published","Purnululu National Park","Outstanding example of cone karst in sandstones","8","Stable","Good","0","2014"
"20388","4894","elena","Completed","Published","Banc d'Arguin National Park","Intertidal ecosystems","9","Data Deficient","Low Concern","0","2014"
"20388","4894","elena","Completed","Published","Banc d'Arguin National Park","Subtidal ecosystems","9","Data Deficient","Low Concern","0","2014"
"20388","4894","elena","Completed","Published","Banc d'Arguin National Park","Terrestrial ecosystems","9","Deteriorating","Low Concern","0","2014"
"20388","4894","elena","Completed","Published","Banc d'Arguin National Park","Migratory and breeding waterbirds","10","Stable","Low Concern","0","2014"
"20388","4894","elena","Completed","Published","Banc d'Arguin National Park","Fish fauna","10","Deteriorating","High Concern","0","2014"
