"wdpa_id","screenname","status","stage","name_en","topic","pm_rating","assessment_cycle"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Integration into regional and national planning systems (including sea/landscape connectivity)","Data Deficient","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Effective","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Management effectiveness","Effective","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Implementation of Committee decisions and recommendations","Some Concern","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Boundaries","Effective","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Sustainable finance","Some Concern","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Staff training and development","Data Deficient","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Sustainable use","Effective","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Education and interpretation programs","Highly Effective","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Tourism and visitation management","Effective","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Monitoring","Highly Effective","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Research","Serious Concern","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Monitoring","Serious Concern","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Tourism and visitation management","Serious Concern","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Education and interpretation programs","Data Deficient","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Sustainable use","Data Deficient","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Staff training and development","Data Deficient","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Sustainable finance","Serious Concern","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Boundaries","Some Concern","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Implementation of Committee decisions and recommendations","Serious Concern","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Management effectiveness","Serious Concern","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Serious Concern","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Integration into regional and national planning systems (including sea/landscape connectivity)","Data Deficient","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Legal framework","Some Concern","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Some Concern","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Effective","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Legal framework","Effective","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Integration into regional and national planning systems (including sea/landscape connectivity)","Effective","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Effective","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Management effectiveness","Effective","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Implementation of Committee decisions and recommendations","Some Concern","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Boundaries","Effective","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Sustainable finance","Some Concern","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Staff training and development","Data Deficient","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Sustainable use","Data Deficient","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Education and interpretation programs","Effective","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Tourism and visitation management","Data Deficient","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Monitoring","Data Deficient","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Research","Data Deficient","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Research","Some Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Monitoring","Serious Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Tourism and visitation management","Serious Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Education and interpretation programs","Some Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Sustainable use","Data Deficient","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Staff training and development","Some Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Sustainable finance","Serious Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Boundaries","Some Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Implementation of Committee decisions and recommendations","Effective","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Management effectiveness","Serious Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Serious Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Integration into regional and national planning systems (including sea/landscape connectivity)","Serious Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Legal framework","Serious Concern","2014"
"20171","elena","Completed","Published","Cliff of Bandiagara (Land of the Dogons)","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Some Concern","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Research","Effective","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Monitoring","Effective","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Tourism and visitation management","Some Concern","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Education and interpretation programs","Effective","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Sustainable use","Effective","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Staff training and development","Data Deficient","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Sustainable finance","Some Concern","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Boundaries","Effective","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Implementation of Committee decisions and recommendations","Some Concern","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Management effectiveness","Some Concern","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Some Concern","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Integration into regional and national planning systems (including sea/landscape connectivity)","Data Deficient","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Legal framework","Some Concern","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Some Concern","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Effective","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Integration into regional and national planning systems (including sea/landscape connectivity)","Data Deficient","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Management effectiveness","Data Deficient","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Legal framework","Effective","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Implementation of Committee decisions and recommendations","Data Deficient","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Sustainable finance","Some Concern","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Sustainable use","Effective","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Education and interpretation programs","Data Deficient","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Tourism and visitation management","Highly Effective","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Monitoring","Data Deficient","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Research","Effective","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Effective","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Staff training and development","Data Deficient","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Boundaries","Some Concern","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Effective","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Integration into regional and national planning systems (including sea/landscape connectivity)","Some Concern","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Effective","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Sustainable finance","Effective","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Education and interpretation programs","Effective","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Tourism and visitation management","Effective","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Monitoring","Effective","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Implementation of Committee decisions and recommendations","Data Deficient","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Staff training and development","Effective","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Sustainable use","Some Concern","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Research","Data Deficient","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Legal framework","Effective","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Management effectiveness","Effective","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Boundaries","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Research","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Monitoring","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Legal framework","Serious Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Tourism and visitation management","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Education and interpretation programs","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Sustainable use","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Staff training and development","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Sustainable finance","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Boundaries","Serious Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Implementation of Committee decisions and recommendations","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Management effectiveness","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Integration into regional and national planning systems (including sea/landscape connectivity)","Some Concern","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Some Concern","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Some Concern","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Legal framework","Effective","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Integration into regional and national planning systems (including sea/landscape connectivity)","Data Deficient","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Some Concern","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Management effectiveness","Effective","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Implementation of Committee decisions and recommendations","Some Concern","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Boundaries","Effective","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Sustainable finance","Effective","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Staff training and development","Some Concern","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Sustainable use","Data Deficient","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Education and interpretation programs","Some Concern","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Tourism and visitation management","Some Concern","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Monitoring","Some Concern","2014"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Research","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Management effectiveness","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Boundaries","Some Concern","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Integration into regional and national planning systems (including sea/landscape connectivity)","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Sustainable finance","Some Concern","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Sustainable use","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Education and interpretation programs","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Monitoring","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Legal framework","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Implementation of Committee decisions and recommendations","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Staff training and development","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Tourism and visitation management","Effective","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Research","Effective","2014"
"168242","elena","Completed","Published","East Rennell","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Some Concern","2014"
"168242","elena","Completed","Published","East Rennell","Legal framework","Some Concern","2014"
"168242","elena","Completed","Published","East Rennell","Integration into regional and national planning systems (including sea/landscape connectivity)","Some Concern","2014"
"168242","elena","Completed","Published","East Rennell","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Serious Concern","2014"
"168242","elena","Completed","Published","East Rennell","Management effectiveness","Serious Concern","2014"
"168242","elena","Completed","Published","East Rennell","Implementation of Committee decisions and recommendations","Some Concern","2014"
"168242","elena","Completed","Published","East Rennell","Boundaries","Serious Concern","2014"
"168242","elena","Completed","Published","East Rennell","Sustainable finance","Serious Concern","2014"
"168242","elena","Completed","Published","East Rennell","Staff training and development","Serious Concern","2014"
"168242","elena","Completed","Published","East Rennell","Sustainable use","Serious Concern","2014"
"168242","elena","Completed","Published","East Rennell","Education and interpretation programs","Serious Concern","2014"
"168242","elena","Completed","Published","East Rennell","Tourism and visitation management","Serious Concern","2014"
"168242","elena","Completed","Published","East Rennell","Monitoring","Serious Concern","2014"
"168242","elena","Completed","Published","East Rennell","Research","Some Concern","2014"
"12206","elena","Completed","Published","Garajonay National Park","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Some Concern","2014"
"12206","elena","Completed","Published","Garajonay National Park","Legal framework","Some Concern","2014"
"12206","elena","Completed","Published","Garajonay National Park","Integration into regional and national planning systems (including sea/landscape connectivity)","Some Concern","2014"
"12206","elena","Completed","Published","Garajonay National Park","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Effective","2014"
"12206","elena","Completed","Published","Garajonay National Park","Management effectiveness","Some Concern","2014"
"12206","elena","Completed","Published","Garajonay National Park","Implementation of Committee decisions and recommendations","Some Concern","2014"
"12206","elena","Completed","Published","Garajonay National Park","Boundaries","Some Concern","2014"
"12206","elena","Completed","Published","Garajonay National Park","Sustainable finance","Some Concern","2014"
"12206","elena","Completed","Published","Garajonay National Park","Staff training and development","Effective","2014"
"12206","elena","Completed","Published","Garajonay National Park","Sustainable use","Effective","2014"
"12206","elena","Completed","Published","Garajonay National Park","Education and interpretation programs","Some Concern","2014"
"12206","elena","Completed","Published","Garajonay National Park","Tourism and visitation management","Some Concern","2014"
"12206","elena","Completed","Published","Garajonay National Park","Monitoring","Effective","2014"
"12206","elena","Completed","Published","Garajonay National Park","Research","Effective","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Education and interpretation programs","Some Concern","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Some Concern","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Legal framework","Some Concern","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Integration into regional and national planning systems (including sea/landscape connectivity)","Effective","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Effective","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Management effectiveness","Serious Concern","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Implementation of Committee decisions and recommendations","Data Deficient","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Boundaries","Serious Concern","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Sustainable finance","Some Concern","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Staff training and development","Some Concern","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Sustainable use","Some Concern","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Tourism and visitation management","Effective","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Monitoring","Serious Concern","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Research","Some Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Some Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Legal framework","Serious Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Integration into regional and national planning systems (including sea/landscape connectivity)","Some Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Some Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Management effectiveness","Serious Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Implementation of Committee decisions and recommendations","Some Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Boundaries","Effective","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Sustainable finance","Some Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Staff training and development","Some Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Sustainable use","Some Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Education and interpretation programs","Effective","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Tourism and visitation management","Some Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Monitoring","Some Concern","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Research","Effective","2014"
"198298","elena","Completed","Published","Lorentz National Park","Research","Data Deficient","2014"
"198298","elena","Completed","Published","Lorentz National Park","Tourism and visitation management","Data Deficient","2014"
"198298","elena","Completed","Published","Lorentz National Park","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Serious Concern","2014"
"198298","elena","Completed","Published","Lorentz National Park","Legal framework","Serious Concern","2014"
"198298","elena","Completed","Published","Lorentz National Park","Integration into regional and national planning systems (including sea/landscape connectivity)","Serious Concern","2014"
"198298","elena","Completed","Published","Lorentz National Park","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Some Concern","2014"
"198298","elena","Completed","Published","Lorentz National Park","Management effectiveness","Serious Concern","2014"
"198298","elena","Completed","Published","Lorentz National Park","Implementation of Committee decisions and recommendations","Some Concern","2014"
"198298","elena","Completed","Published","Lorentz National Park","Boundaries","Effective","2014"
"198298","elena","Completed","Published","Lorentz National Park","Sustainable finance","Some Concern","2014"
"198298","elena","Completed","Published","Lorentz National Park","Staff training and development","Serious Concern","2014"
"198298","elena","Completed","Published","Lorentz National Park","Sustainable use","Some Concern","2014"
"198298","elena","Completed","Published","Lorentz National Park","Education and interpretation programs","Data Deficient","2014"
"198298","elena","Completed","Published","Lorentz National Park","Monitoring","Serious Concern","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Serious Concern","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Legal framework","Some Concern","2014"
"903129","elena","Completed","Published","Ecosystem and Relict Cultural Landscape of Lopé-Okanda","Integration into regional and national planning systems (including sea/landscape connectivity)","Data Deficient","2014"
